Category,Name of cocktail,Type,Picture,,Base Spirit,Served,Garnish,Drinkware,Ingredients,Preparation,Commonly Served
Contemporary Classics,Horse's neck,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/5/54/16-09-17-WikiLovesCocktails-Drink-Img0266_1.jpg/250px-16-09-17-WikiLovesCocktails-Drink-Img0266_1.jpg,,"
Brandy
",On the rocks: poured over ice,Long spiral of lemon zest, Highball glass,"
4 cL (1 part) Brandy
12 cL (3 parts) Ginger ale
Dash of Angostura bitter (optional)
","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",† Horse's neck recipe at International Bartenders Association
Contemporary Classics,Irish Coffee,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/6/61/Irish_coffee_glass.jpg/250px-Irish_coffee_glass.jpg,,"
Irish whiskey
",Hot, Irish coffee mug,"
50 mL Irish whiskey
120 mL hot coffee
50 mL fresh cream (chilled)
1 tsp sugar
","Pour the coffee into a preheated glass, add whiskey and sugar, and stir until dissolved. Pour cream slowly to form a distinct layer.",† Irish Coffee recipe at International Bartenders Association,
Contemporary Classics,Kir,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Kir_cocktail.jpg/250px-Kir_cocktail.jpg,,"
Wine
","Straight up: chilled, without ice", Wine glass (white),"
9 cl (9 parts) white wine
1 cl (1 part) crème de cassis
","Add the crème de cassis to the bottom of the glass, then top up with wine.",Before Dinner,A recipe can be found at the International Bartenders Association website.
Contemporary Classics,Long Island Iced Tea,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Long_Island_Iced_Teas.jpg/250px-Long_Island_Iced_Teas.jpg,,"
Gin
Tequila
Vodka
Rum
",On the rocks: poured over ice,lemon slice (optional), Highball glass,"
15 ml Tequila
15 ml Vodka
15 ml White rum
15 ml Cointreau
15 ml Gin
30 ml Lemon juice
20 ml simple syrup
Top with Cola
",Add all ingredients into highball glass filled with ice. Stir gently. Optionally garnish with lemon slice.[1],† Long Island Iced Tea recipe at International Bartenders Association
Contemporary Classics,Mai Tai,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Mai_Tai_Trader_Vics_Emeryville.jpg/250px-Mai_Tai_Trader_Vics_Emeryville.jpg,,"
Rum
",shaved or crushed ice,"pineapple spear, mint leaves, and lime peel", Old fashioned glass,"
30 ml amber Jamaican rum
30 ml Martinique molasses rhum
15 ml orange curaçao
15 ml orgeat syrup (almond)
30 ml fresh lime juice
7.5 ml simple syrup
",Add all ingredients into a shaker with ice. Shake and pour into a double rocks glass or a highball glass.,"The Martinique molasses rum used by Trader Vic was not an Agricole rum but a type of ""rummy"" from molasses."
Contemporary Classics,Margarita,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/3/37/MargaritaReal.jpg/250px-MargaritaReal.jpg,,"
Tequila
","Rocks, straight up, frozen",Half salt rim (optional), Margarita glass,"
50 ml tequila 100% agave
20 ml triple sec
15 ml freshly squeezed lime juice
",Add all ingredients into a shaker with ice. Shake and strain into a chilled cocktail glass.,† Margarita recipe at International Bartenders Association
Contemporary Classics,Mimosa,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Pool-side_Mimosas_at_The_Standard_Hotel.jpg/250px-Pool-side_Mimosas_at_The_Standard_Hotel.jpg,,"
Champagne
","Straight up: chilled, without ice",Orange twist, Champagne flute,"
7.5 cl champagne
7.5 cl orange juice
","Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",† Mimosa recipe at International Bartenders Association
Contemporary Classics,Mint julep,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/5/55/Mint_Julep_im_Silberbecher.jpg/250px-Mint_Julep_im_Silberbecher.jpg,,"
Bourbon whiskey
",On the rocks: poured over ice,Mint sprig,Julep stainless steel cup,"
60 mL (2.0 US fl oz) bourbon whiskey
4 mint sprigs
1 teaspoon powdered sugar
2 teaspoons water
","In Julep Stainless Steel Cup gently muddle the mint with sugar and water. Fill the glass with cracked ice, add the Bourbon and stir well until the cup frosts.",† Mint julep recipe at International Bartenders Association
Contemporary Classics,Mojito,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/5/54/15-09-26-RalfR-WLC-0072.jpg/250px-15-09-26-RalfR-WLC-0072.jpg,,"
Rum
",On the rocks: poured over ice,sprigs of mint or slice of lime, Collins glass,"
45 ml white rum
20 ml fresh lime juice
6 sprigs of mint
2 teaspoons white cane sugar (or 2 cl of sugar syrup)
Soda water
",Mix mint sprigs with sugar and lime juice. Add splash of soda water and fill the glass with ice. Pour the rum and top with soda water. Light stir to involve all ingredients.,† Mojito recipe at International Bartenders Association
Contemporary Classics,Moscow mule,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Cocktail_Moscow_Mule_im_Kupferbecher_mit_Minze.jpg/250px-Cocktail_Moscow_Mule_im_Kupferbecher_mit_Minze.jpg,,"
Vodka
",On the rocks: poured over ice,Lime Slice,copper mug,"
4.5 cl (9 parts) vodka
1 cl (2 parts) lime juice
12 cl (24 parts) ginger beer
",Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,† Moscow mule recipe at International Bartenders Association
Contemporary Classics,Piña Colada,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Pi%C3%B1a_Colada.jpg/250px-Pi%C3%B1a_Colada.jpg,,"
Rum
",Frozen: blended with ice,slice of pineapple with a cocktail cherry, Poco Grande glass,"
50 ml white rum
30 ml coconut cream
50 ml fresh pineapple juice
","Blend all the ingredients with ice in an electric blender, pour into a large glass, and serve with straws.",Historically a few drops of fresh lime juice or bitters were added to taste. 4 slices of fresh pineapple can be used instead of juice
Contemporary Classics,Pisco sour,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Pisco_sour_20100613b.JPG/250px-Pisco_sour_20100613b.JPG,,"
Pisco
","Straight up: chilled, without ice",Few dashes of Amargo bitters on top as an aromatic garnish, Goblet,"
60 ml Pisco
30 ml fresh lemon juice
20 ml simple syrup
1 raw egg white
",Add all ingredients into a shaker with ice. Shake and strain into a chilled goblet glass.,All day
Contemporary Classics,Sea breeze,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Cocktail_with_vodka.jpg/250px-Cocktail_with_vodka.jpg,,"
Vodka
",On the rocks: poured over ice,lime slice, Highball glass,"
4 cl Vodka
12 cl Cranberry juice
3 cl Grapefruit juice
",Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,† Sea breeze recipe at International Bartenders Association
Contemporary Classics,Sex on the beach,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Sex_On_The_Beach.jpg/180px-Sex_On_The_Beach.jpg,,"
Vodka
",On the rocks: poured over ice,orange slice, Highball glass,"
4 cl Vodka
2 cl Peach schnapps
4 cl Orange juice
4 cl cranberry juice
",Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,† Sex on the beach recipe at International Bartenders Association
Contemporary Classics,Singapore sling,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Singaporesling-march2017.jpg/250px-Singaporesling-march2017.jpg,,"
Gin
","Straight up: chilled, without ice",pineapple and Maraschino cherry, Hurricane glass,"
30 ml gin
15 ml cherry liqueur
7.5 ml Cointreau
7.5 ml DOM Bénédictine
120 ml fresh pineapple juice
15 ml fresh lime juice
10 ml Grenadine
1 dash Angostura bitters
",Pour all ingredients into a cocktail shaker filled with ice cubes. Shake well. Strain into a hurricane glass.,† Singapore sling recipe at International Bartenders Association
Contemporary Classics,Tequila sunrise,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Tequila_Sunrise_glass.jpg/250px-Tequila_Sunrise_glass.jpg,,"
Tequila
",On the rocks: poured over ice,half orange slice or orange zest, Highball glass,"
45 ml tequila
90 ml fresh orange juice
15 ml grenadine syrup
","Pour tequila and orange juice directly into highball glass filled with ice cubes. Add the grenadine syrup to create chromatic effect (sunrise), do not stir.",† Tequila sunrise recipe at International Bartenders Association
Contemporary Classics,Vesper,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/The_Vesper.png/250px-The_Vesper.png,,"
Gin
","Straight up: chilled, without ice",lemon zest, Cocktail glass,"
45 ml gin
15 ml vodka
7.5 ml Lillet Blanc
",Pour all ingredients into a cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,Before dinner
Contemporary Classics,Zombie,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/d/dc/ZombieCocktail.jpg/250px-ZombieCocktail.jpg,,"
Rum
",On the rocks: poured over ice,mint sprig, Zombie glass,"
45 ml Jamaican dark rum
45 ml Puerto Rican gold rum
30 ml 151 Demerara rum
20 ml fresh lime juice
15 ml falernum
15 ml Donn’s Mix (2 parts fresh white grapefruit juice and 1 part cinnamon syrup)
1 tsp Grenadine syrup
1 dash Angostura bitters
6 drops Pernod
",Mix ingredients in a shaker with crushed ice and shake. Pour into a tall tumbler glass.,"Because of the high proof rum, this cocktail could be lit if desired."
New Era Drinks,Barracuda,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Barracuda_Sparkling_Cocktail.png/250px-Barracuda_Sparkling_Cocktail.png,,"
Rum
","Straight up: chilled, without ice", Margarita glass,"
4.5 cl gold rum
1.5 cl Galliano
6 cl pineapple juice
1 dash fresh lime juice
Top with Prosecco
","Shake pour ingredients with ice. Strain into glass, top with sparkling wine.",† Barracuda recipe at International Bartenders Association,
New Era Drinks,Bee's knees,IBA official cocktail,,,"Straight up: chilled, without ice",Garnish with lemon peel, Cocktail glass,"
2oz gin
1oz honey syrup
1oz lemon juice
garnish with lemon peel
","Combine gin, honey syrup and lemon juice into a mixing tin. Shake. Strain into chilled cocktail glass. Garnish with lemon peel.",† Bee's knees recipe at International Bartenders Association,
New Era Drinks,Bramble,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/2/22/Bramble_Cocktail1.jpg/250px-Bramble_Cocktail1.jpg,,"
Gin
",On the rocks: poured over ice,"Blackberry, lemon slice", Old fashioned glass,"
50 ml Gin
25 ml Fresh Lemon Juice
12.5 ml Sugar Syrup
15 ml Crème de Mûre
","Pour all ingredients into a cocktail shaker except the Crème de Mûre, shake well with ice, strain into chilled old fashioned glass filled with crushed ice, then pour the blackberry liqueur (Crème de Mûre) over the top of the drink, in a circular motion.",All Day
New Era Drinks,Canchanchara,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/1/10/Canchanchara.jpg/250px-Canchanchara.jpg,,"
Rum
",On the rocks: poured over ice,Lime wedge, Old fashioned glass,"
60 ml Cuban aguardiente
15 ml fresh lime juice
15 ml raw honey
50 ml water
","Mix honey with water and lime juice and spread the mixture on the bottom and sides of the glass. Add cracked ice, and then the rum. End by energetically stirring from bottom to top.",† Canchanchara recipe at International Bartenders Association
New Era Drinks,Dark 'n' stormy,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/DarknStormy.jpg/250px-DarknStormy.jpg,,"
Rum
",On the rocks: poured over ice,Lime wedge, Highball glass,60 ml Goslings Rum100 ml Ginger Beer,In a highball glass filled with ice pour the ginger beer and top floating with the Rum.,Garnish with a lime wedge or slice.
New Era Drinks,Espresso martini,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/5/55/Bistrot_Bruno_Loubet%2C_Clerkenwell%2C_London_%284574785649%29.jpg/250px-Bistrot_Bruno_Loubet%2C_Clerkenwell%2C_London_%284574785649%29.jpg,,"
Vodka
","Straight up: chilled, without ice",3 coffee beans, Cocktail glass,"
50 ml vodka
30 ml Kahlúa
10 ml sugar syrup
1 strong espresso
","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",† Espresso martini recipe at International Bartenders Association
New Era Drinks,Fernandito,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Fernet_and_Coke_%28Fernet_con_Coca%29.jpg/250px-Fernet_and_Coke_%28Fernet_con_Coca%29.jpg,,"
Fernet-Branca
",On the rocks: poured over ice, Old fashioned glass,"
5 cl Fernet-Branca
Cola to top up
","Fill a double old-fashioned glass with ice. Pour in the Fernet-Branca, fill the glass with cola. Stir gently.",† Fernandito recipe at International Bartenders Association,
New Era Drinks,French martini,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/5/55/French_Martini.jpg/250px-French_Martini.jpg,,"
Vodka
raspberry liqueur
","Straight up: chilled, without ice",Squeeze oil from lemon peel onto the drink., Cocktail glass,"
45 ml vodka
15 ml raspberry liqueur
15 ml fresh pineapple juice
","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Before dinner
New Era Drinks,Illegal,IBA official cocktail,,,"Served in one of two ways:
Straight up (no ice) in a chilled cocktail glass
On the rocks (over ice) in a traditional clay or terracotta mug
", Cocktail glass,"
3 cl Mezcal (espadín)
1.5 cl Jamaica overproof white rum
1.5 cl Falernum
1 barspoon maraschino Luxardo
2.25 cl fresh lime juice
1.5 cl simple syrup
Few drops of egg white (optional)
","Pour all ingredients into shaker with ice cubes. Shake vigorously. Strain into chilled cocktail glass, or ""on the rocks"" into a traditional clay or terracotta mug.",† Illegal recipe at International Bartenders Association,,
New Era Drinks,Lemon Drop,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/6/60/Lemon_Drop_cocktails.jpg/250px-Lemon_Drop_cocktails.jpg,,"
Vodka
","Straight up: chilled, without ice",sugar around rim, Cocktail glass,"
30 ml vodka citron
20 ml triple sec
15 ml fresh lemon juice
","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass. Garnish with sugar rim around the glass.",All Day
New Era Drinks,Naked and famous,IBA official cocktail,,,"Straight up: chilled, without ice", Cocktail glass,"
2.25 cl mezcal
2.25 cl yellow Chartreuse
2.25 cl Aperol
2.25 cl fresh lime juice
",Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass.,† and famous Naked and famous recipe at International Bartenders Association,,
New Era Drinks,New York sour,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/3/37/New_York_Sour.jpg/250px-New_York_Sour.jpg,,"
Whiskey
",On the rocks: poured over ice,Lemon or orange zest and cherry, Rocks glass,"
6 cl whiskey (rye or bourbon)
2.25 cl Simple syrup
3 cl fresh lemon juice
Few drops of egg white
1.5 cl red wine (Shiraz or Malbec)
","Pour the whiskey, syrup, lemon juice, and egg white into shaker with ice cubes. Shake vigorously. Strain into chilled rocks glass filled with ice. Float the wine on top. Garnish with lemon or orange zest and cherry.",† New York sour recipe at International Bartenders Association
New Era Drinks,Old Cuban,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/f/fb/VTR_-_The_%22Old_Cuban%22_%286038903420%29.jpg/250px-VTR_-_The_%22Old_Cuban%22_%286038903420%29.jpg,,"
Rum
","Straight up: chilled, without ice",Mint sprigs, Cocktail glass,"
4.5 cl aged rum
2.25 cl fresh lime juice
3 cl simple syrup
2 dashes Angostura bitters
6 to 8 mint leaves
6 cl champagne brut or Prosecco
","Pour all ingredients except the wine into cocktail shaker, shake well with ice, strain into chilled elegant cocktail glass. Top up with the sparkling wine and garnish with mint sprigs",† Old Cuban recipe at International Bartenders Association
New Era Drinks,Paloma,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/0/0c/TequilaPaloma.JPG/250px-TequilaPaloma.JPG,,"
Tequila
",On the rocks: poured over ice,slice of lime, Highball glass,"
50 ml 100% agave tequila
5 ml fresh lime juice
pinch of salt
100 ml pink grapefruit soda
","Pour the tequila into a highball glass, squeeze the lime juice. Add ice and salt, fill up pink grapefruit soda. Stir gently.",† Paloma recipe at International Bartenders Association
New Era Drinks,Paper plane,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Taub_Family_Outpost_-_June_11_2021_-_Sarah_Stierch_02.jpg/250px-Taub_Family_Outpost_-_June_11_2021_-_Sarah_Stierch_02.jpg,,"
Bourbon whiskey
","Straight up: chilled, without ice", Cocktail glass,"
30 ml Bourbon whiskey
30 ml Amaro (liqueur)
30 ml Aperol
30 ml fresh lemon juice
","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",† Paper plane recipe at International Bartenders Association,
New Era Drinks,Penicillin,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/1/18/The_Spotted_Owl_-_Penicillin.jpg/250px-The_Spotted_Owl_-_Penicillin.jpg,,"
Whisky
",On the rocks: poured over ice,Candied ginger, Old fashioned glass,"
60 ml blended Scotch whisky
7.5 ml Lagavulin 16y whisky
22.5 ml fresh lemon juice
22.5 ml honey syrup
2–3 quarter-sized slices of fresh ginger
","Muddle fresh ginger in a shaker and add the remaining ingredients, except for the Islay single malt whisky. Fill the shaker with ice and shake. Double-strain into a chilled old fashioned glass with ice. Float the single malt whisky on top.",† Penicillin recipe at International Bartenders Association
New Era Drinks,Russian spring punch,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Russian_spring_punch.jpg/250px-Russian_spring_punch.jpg,,"
Vodka
",On the rocks: poured over ice, Highball glass,"
2.5 cl Vodka
1.5 cl Crème de cassis
1 cl Sugar Syrup
2.5 cl Lemon Juice, fresh
","Pour all ingredients into cocktail shaker except the sparkling wine, shake well with ice, strain into chilled tall tumbler glass filled with ice and top up with sparkling wine.",† Russian spring punch recipe at International Bartenders Association,
New Era Drinks,Spicy Fifty,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Spicy_Fifty_variation.jpg/250px-Spicy_Fifty_variation.jpg,,"
Vodka
",Red chili pepper, Cocktail glass,"
50 ml Vodka Vanilla
15 ml Elderflower Cordial
15 ml Fresh Lime Juice
10 ml Monin Honey Syrup
2 thin Slices Red Chili Pepper
","Add ingredients to shaker, shake with ice, double strain into chilled cocktail glass, and garnish with red chili pepper.",† Spicy Fifty recipe at International Bartenders Association,
New Era Drinks,Spritz,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Aperol_Spritz_aboard_Viking_Mariella.jpg/250px-Aperol_Spritz_aboard_Viking_Mariella.jpg,,"
Prosecco
",On the rocks: poured over ice,Slice of Orange, Wine glass (white),"
9 cl Prosecco
6 cl Select/Aperol/Campari/Cynar
Splash of soda water
",Build all ingredients into a wine glass filled with ice. Stir gently.,"[1]
† Spritz recipe at International Bartenders Association"
New Era Drinks,Suffering bastard,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Suffering_Bastard_Cocktail.jpg/250px-Suffering_Bastard_Cocktail.jpg,,On the rocks: poured over ice,mint springs  [sic] and optionally an orange slice as well, Collins glass,"
30 ml Cognac or brandy
30 ml gin
15 ml fresh lime juice
2 dashes Angostura bitters
top up ginger beer
","Pour all ingredients into a cocktail shaker except the ginger beer, shake well with ice, Pour unstrained into a Collins glass or in the original S. Bastard mug and top up with ginger beer.",† Suffering bastard recipe at International Bartenders Association,
New Era Drinks,Tipperary,IBA official cocktail,,,"Straight up: chilled, without ice",Orange slice, Cocktail glass,"
5 cl Irish whiskey
2.5 cl sweet red vermouth
1.5 cl green Chartreuse
2 dashes Angostura bitters
",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass. Garnish with a slice of orange.,† Tipperary recipe at International Bartenders Association,
New Era Drinks,Tommy's margarita,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/6/64/TommysMargarita.jpg/250px-TommysMargarita.jpg,,"
Tequila
",On the rocks: poured over ice,Lime slice, Rocks glass,"
60 ml Tequila agave 100% reposado
30 ml Fresh lime juice (Persiano)
30 ml Agave syrup (1⁄2 water + 1⁄2 agave nectar)
","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled rocks glass filled with ice.",All Day
New Era Drinks,Trinidad Sour,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/7/7e/VTR_-_Trinidad_Sour_%2818045674468%29.jpg/250px-VTR_-_Trinidad_Sour_%2818045674468%29.jpg,,"
Angostura bitters
","Straight up: chilled, without ice", Cocktail glass,"
4.5 cl Angostura bitters
3 cl orgeat syrup
2.25 cl fresh lemon juice
1.5 cl rye whiskey
","Pour all ingredients into a cocktail shaker, shake well with ice, strain into chilled cocktail glass.",† Trinidad Sour recipe at International Bartenders Association,
New Era Drinks,Ve.n.to,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/3/34/Ve.n.to_cocktail.jpg/250px-Ve.n.to_cocktail.jpg,,"
Grappa
",On the rocks: poured over ice,Lemon zest and white grapes,Tumbler,"
4.5 cl white smooth grappa
2.25 cl fresh lemon juice
1.5 cl honey mix (made with chamomile infusion if desired)
1.5 cl chamomile cordial
1 cl egg white (optional)
",Pour all ingredients into the shaker. Shake vigorously with ice. Strain into a chilled small tumbler glass filled with ice.,"If desired, the water used to make the honey mix can be replaced by chamomile infusion."
New Era Drinks,Yellow bird,IBA official cocktail,//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Yellow_Bird_at_Bar_Blanc%2C_Atlanta_GA.jpg/250px-Yellow_Bird_at_Bar_Blanc%2C_Atlanta_GA.jpg,,"
Rum
","Straight up: chilled, without ice", Cocktail glass,"
3 cl white rum
1.5 cl Galliano
1.5 cl triple sec
1.5 cl lime juice
","Pour all ingredients into a cocktail shaker, shake well with ice, strain into chilled cocktail glass",All day,† Yellow bird recipe at International Bartenders Association
